date,btc_price
2025-03-31,82356.38111183756
2025-04-01,82514.09365397849
2025-04-02,85237.5876052852
2025-04-03,82526.4221526433
2025-04-04,83163.98757387721
2025-04-05,83852.00765399594
2025-04-06,83595.88550177493
2025-04-07,78211.48358199988
2025-04-08,79179.29226757778
2025-04-09,76329.090356324
2025-04-10,82622.17029546302
2025-04-11,79596.35732250768
2025-04-12,83439.28818043756
2025-04-13,85305.09728392666
2025-04-14,83600.82010054543
2025-04-15,84523.4524914945
2025-04-16,83656.49248858042
2025-04-17,84105.77942167096
2025-04-18,84930.90857600998
2025-04-19,84433.75017215389
2025-04-20,85126.66244301842
2025-04-21,85073.16544858096
2025-04-22,87452.04699068287
2025-04-23,93576.16588573981
2025-04-24,93605.45230873208
2025-04-25,93872.81422867288
2025-04-26,94773.11200643536
2025-04-27,94644.06637120107
2025-04-28,93809.33781968223
2025-04-29,95030.60645474444
2025-04-30,94256.35946318062
2025-05-01,94235.75331048167
2025-05-02,96426.94522273027
2025-05-03,96855.5681343944
2025-05-04,95922.86842404422
2025-05-05,94326.62048529249
2025-05-06,94758.8237105546
2025-05-07,96854.53198815876
2025-05-08,97026.49376966801
2025-05-09,103076.27555512934
2025-05-10,102962.54045692299
2025-05-11,104630.8792994166
2025-05-12,103994.061616746
2025-05-13,102876.8304286011
2025-05-14,104184.49039270742
2025-05-15,103594.42575090709
2025-05-16,103708.85136423641
2025-05-17,103556.03493982446
2025-05-18,103212.36483885496
2025-05-19,106030.6376831359
2025-05-20,105629.41580436694
2025-05-21,106786.71995834043
2025-05-22,109665.86371625263
2025-05-23,111560.356938144
2025-05-24,107216.66856870624
2025-05-25,107831.36374380375
2025-05-26,108861.81037744327
2025-05-27,109377.71513263129
2025-05-28,109068.45694901445
2025-05-29,107838.18431100152
2025-05-30,105745.41660358038
2025-05-31,104010.91956242644
2025-06-01,104687.50742934884
2025-06-02,105710.00593822816
2025-06-03,105884.74263221149
2025-06-04,105434.47745144971
2025-06-05,104812.9182188067
2025-06-06,101650.7387545425
2025-06-07,104409.74967959142
2025-06-08,105681.4546141758
2025-06-09,105692.24740699006
2025-06-10,110261.57485948496
2025-06-11,110212.73252109604
2025-06-12,108679.9760916168
2025-06-13,105979.22902375912
2025-06-14,106045.56440819203
2025-06-15,105482.90611628917
2025-06-16,105554.49383061715
2025-06-17,106951.2720181497
2025-06-18,104683.42479835715
2025-06-19,104722.695052907
2025-06-20,104690.65002458123
2025-06-21,103290.105144757
2025-06-22,101532.5683847329
2025-06-23,100852.58264648831
2025-06-24,105511.62437933135
2025-06-25,105976.06929808448
2025-06-26,107238.53045016268
2025-06-27,106984.01253775663
2025-06-28,107078.91560644074
2025-06-29,107331.58548463577
2025-06-30,108396.61631317894
2025-07-01,107132.79910701896
2025-07-02,105613.39974163055
2025-07-03,108824.44423167943
2025-07-04,109602.20483914016
2025-07-05,108040.8919400104
2025-07-06,108217.46849992426
2025-07-07,109215.19771840284
2025-07-08,108300.71675785031
2025-07-09,108953.19187727802
2025-07-10,111327.53054245669
2025-07-11,115879.65030112496
2025-07-12,117571.02510036016
2025-07-13,117418.95745007684
2025-07-14,119117.55666327637
2025-07-15,119833.67446712355
2025-07-16,117678.19493404306
2025-07-17,118748.1627367753
2025-07-18,119445.36520434043
2025-07-19,117988.94664455787
2025-07-20,117901.62655900871
2025-07-21,117256.9208222684
2025-07-22,117482.46977767294
2025-07-23,119955.79570607653
2025-07-24,118629.05588130427
2025-07-25,118354.43517438594
2025-07-26,117540.80837085741
2025-07-27,117959.54234360624
2025-07-28,119418.91405141471
2025-07-29,118003.30201607826
2025-07-30,117853.30892863822
2025-07-31,117833.24087995925
2025-08-01,115700.00243915782
2025-08-02,113234.6051343189
2025-08-03,112554.90232221723
2025-08-04,114199.10966460757
2025-08-05,115138.68613070177
2025-08-06,114128.35408881678
2025-08-07,115022.09576830892
2025-08-08,117463.47451085235
2025-08-09,116688.36663186055
2025-08-10,116510.08393213755
2025-08-11,119266.92516880555
2025-08-12,118773.79960860992
2025-08-13,120202.53485503166
2025-08-14,123560.99363577305
2025-08-15,118405.59579823953
2025-08-16,117339.79190213277
2025-08-17,117501.21653394958
2025-08-18,117542.83687778088
2025-08-19,116256.41276740946
2025-08-20,112778.34483555844
2025-08-21,114252.39755195397
2025-08-22,112414.39987336512
2025-08-23,116834.24948202295
2025-08-24,115359.98346714744
2025-08-25,113399.54847314971
2025-08-26,110185.35443900425
2025-08-27,111842.70999260596
2025-08-28,111216.08479629169
2025-08-29,112525.59740669793
2025-08-30,108480.30666639366
2025-08-31,108781.95727925687
2025-09-01,108253.36092385623
2025-09-02,109162.68557992298
2025-09-03,111190.18209845416
2025-09-04,111711.51977725117
2025-09-05,110724.736377486
2025-09-06,110662.18112628513
2025-09-07,110209.1888247784
2025-09-08,111131.9923868407
2025-09-09,112025.12878118771
2025-09-10,111547.43956434788
2025-09-11,113975.32489468766
2025-09-12,115503.16663193036
2025-09-13,116160.14344594491
2025-09-14,115970.58488443034
2025-09-15,115373.55555886829
2025-09-16,115397.25272727509
2025-09-17,116762.8496864193
2025-09-18,116455.94648225319
2025-09-19,117145.49508952006
2025-09-20,115655.81046441344
2025-09-21,115715.51536781774
2025-09-22,115304.47999407038
2025-09-23,112696.74101711863
2025-09-24,112022.16587861195
2025-09-25,113320.56908541008
2025-09-26,108963.53013595635
2025-09-27,109710.20874667744
2025-09-28,109654.81021075726
2025-09-29,112142.57362752674
2025-09-30,114309.15041119447
2025-10-01,114024.22783550054
2025-10-02,118503.24451752483
2025-10-03,120611.71911591051
2025-10-04,122250.15186842803
2025-10-05,122380.93708463266
2025-10-06,123506.18520027678
2025-10-07,124773.50823074432
2025-10-08,121518.75593575071
2025-10-09,123352.50487523204
2025-10-10,121698.03066778315
2025-10-11,113201.74064138904
2025-10-12,110853.11663883903
2025-10-13,115189.5714637257
2025-10-14,115222.28302116522
2025-10-15,113156.56943826913
2025-10-16,110708.66960879423
2025-10-17,108076.72862033188
2025-10-18,106443.61194984635
2025-10-19,107156.00337647724
2025-10-20,108621.134857428
2025-10-21,110608.5714932665
2025-10-22,108486.10262716639
2025-10-23,107618.4266715404
2025-10-24,110048.51827291629
2025-10-25,110997.80437129698
2025-10-26,111620.3093731354
2025-10-27,114476.01227508577
2025-10-28,114182.79442806762
2025-10-29,112950.34863259472
2025-10-30,110046.66925837283
2025-10-31,108240.76528725718
2025-11-01,109573.90555629115
2025-11-02,110014.13556776087
2025-11-03,110650.2092823146
2025-11-04,106521.08673825761
2025-11-05,101635.2740227234
2025-11-06,103877.95965955159
2025-11-07,101322.6402945857
2025-11-08,103396.084215925
2025-11-09,102290.13714655167
2025-11-10,104709.67861656273
2025-11-11,105909.07272321742
2025-11-12,102960.77564500563
2025-11-13,101521.70859453593
2025-11-14,99730.4533956204
2025-11-15,94456.39368235337
2025-11-16,95508.31019889197
2025-11-17,94411.32947182967
2025-11-18,92036.7255045672
2025-11-19,92819.75921500899
2025-11-20,91363.27838693369
2025-11-21,86649.97257918229
2025-11-22,85051.8019295002
2025-11-23,84682.62429147748
2025-11-24,86783.84766839583
2025-11-25,88229.35740719768
2025-11-26,87310.33159950442
2025-11-27,90474.22677969698
2025-11-28,91279.06057176423
2025-11-29,90950.37695910994
2025-11-30,90841.45258193677
2025-12-01,90406.28448571145
2025-12-02,86281.49519776918
2025-12-03,91344.73275150165
2025-12-04,93619.43750817103
2025-12-05,92140.70419795791
2025-12-06,89307.09154512963
2025-12-07,89244.7620814118
2025-12-08,90162.90714007126
2025-12-09,90618.0535204608
2025-12-10,92723.21372069631
2025-12-11,92005.13714957413
2025-12-12,92494.17691640415
2025-12-13,90307.26028567803
2025-12-14,90257.4292885891
2025-12-15,88230.77409367911
2025-12-16,86413.9190195637
2025-12-17,87821.88919109134
2025-12-18,86064.94716216
